"","elpd_diff","se_diff","elpd_waic","se_elpd_waic","p_waic","se_p_waic","waic","se_waic"
"M5.61",0,0,-1011.65229362731,27.8697720382819,104.571876832646,4.38730382861058,2023.30458725462,55.7395440765638
"M5.5",-0.667392237330444,1.13192781122213,-1012.31968586464,27.9373611920405,105.271066873086,4.43449210274748,2024.63937172928,55.874722384081
"M5.41",-15.1024793935005,5.12916520924836,-1026.75477302081,28.0611326011242,100.896923580223,4.14093207214506,2053.50954604163,56.1222652022484
"M5.101",-15.3730806255802,4.92848989022899,-1027.02537425289,28.0157891122738,100.728878859759,4.14550921686708,2054.05074850578,56.0315782245477
"M5.3",-29.3918725151096,8.36761062358558,-1041.04416614242,27.5822077956225,104.493424127288,4.29256048720765,2082.08833228484,55.164415591245
"M5.8",-45.5897440165367,9.94288694824115,-1057.24203764385,27.7883608996784,99.5095021584727,3.95552926664892,2114.4840752877,55.5767217993567
"M5.13",-46.3146031189699,10.0753123498067,-1057.96689674628,27.8300777515607,100.611622693973,4.02151494994801,2115.93379349256,55.6601555031214
"M5.71",-58.3237490163638,10.389573363268,-1069.97604264367,27.6647263022643,105.032026396636,4.38856401185006,2139.95208528735,55.3294526045285
"M5.16",-59.8444948757862,10.4980528042393,-1071.4967885031,27.7236435601173,106.252010582642,4.4814454113234,2142.9935770062,55.4472871202345
"M5.91",-68.0614088317471,11.1565721520934,-1079.71370245906,27.8809017383963,102.613057174368,4.25697085812798,2159.42740491811,55.7618034767926
"M5.14",-69.5598070439008,11.2657094410896,-1081.21210067121,27.8132552287993,103.373745620687,4.19434168877827,2162.42420134242,55.6265104575986
"M5.12",-122.743658674953,15.2649867788123,-1134.39595230226,26.9406748537946,101.729371187707,3.84197606278318,2268.79190460452,53.8813497075891
"M5.15",-123.763787307193,15.3981585679668,-1135.4160809345,26.9756467294946,102.586342874645,3.84667560343308,2270.832161869,53.9512934589893
"M5.11",-132.759863159357,15.8958284419986,-1144.41215678667,27.1795593665716,99.3138846896175,3.71776547861901,2288.82431357334,54.3591187331433
